cik,ticker,label,subset,Fiscal Period,Cost of Goods Sold,Depreciation Depletion Amortization,EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
103096,TRR,False,train,Jun 2012,246.5,5.5,30.0,35.5,56.2,3.9,171.0,33.6,-113.7,302.7,275.1,154.0,117.6,77.1,207.3,26.2,96.2
103096,TRR,False,train,Jun 2013,268.5,6.9,18.6,25.5,56.6,0.6,203.3,36.3,-77.4,325.2,307.8,185.3,123.7,77.1,201.2,38.0,110.8
103096,TRR,False,train,Jun 2014,312.1,8.8,20.9,29.7,60.8,0.1,185.0,12.1,-65.4,372.9,335.6,221.0,132.2,77.1,211.1,39.9,160.0
103096,TRR,False,train,Jun 2015,337.3,9.3,30.7,40.0,77.4,0.1,309.4,19.4,-45.9,414.6,362.9,234.3,144.2,77.1,215.4,46.6,179.7
103096,TRR,False,train,Jun 2016,402.3,14.7,2.2,16.9,79.0,79.2,196.4,0.0,-45.9,481.3,478.5,248.2,178.4,77.1,325.1,77.7,199.3
752642,UMH,False,train,Dec 2016,49.1,23.2,27.0,50.2,50.1,351.3,442.3,11.5,-0.7,99.2,680.4,150.7,7.8,17.4,363.4,34.1,20.3
752642,UMH,False,train,Dec 2017,56.3,27.6,28.5,56.1,56.3,389.6,528.8,12.7,-0.7,112.6,823.9,199.2,7.9,17.6,402.7,40.3,25.5
752642,UMH,False,train,Dec 2018,64.7,31.7,-20.2,11.5,64.9,439.1,453.7,-36.2,-25.4,129.6,880.9,162.2,11.3,23.7,456.2,46.3,31.5
752642,UMH,False,train,Dec 2019,74.6,36.8,45.6,82.4,71.9,457.3,647.0,27.8,-25.4,146.6,1025.5,199.1,15.1,32.0,479.1,51.9,38.0
752642,UMH,False,train,Dec 2020,77.6,41.7,23.3,65.0,86.0,558.5,620.8,5.1,-25.4,163.6,1089.4,190.4,21.7,25.4,587.6,57.7,46.4
846930,DQE,False,train,Dec 2002,394.0,87.0,185.0,273.0,509.0,978.0,65.91,176.0,553.0,903.0,2541.0,184.0,279.0,17.0,1895.0,358.0,115.0
846930,DQE,False,train,Dec 2003,394.0,87.0,185.0,273.0,509.0,978.0,65.91,176.0,553.0,903.0,2541.0,184.0,279.0,17.0,1895.0,358.0,115.0
846930,DQE,False,train,Dec 2004,382.0,83.0,163.0,247.0,515.0,958.0,65.91,87.0,564.0,897.0,2633.0,221.0,210.0,15.0,1876.0,365.0,116.0
846930,DQE,False,train,Dec 2005,367.0,82.0,218.0,301.0,555.0,958.0,65.91,114.0,600.0,922.0,2821.0,294.0,319.0,18.0,2017.0,377.0,114.0
846930,DQE,False,train,Dec 2006,436.0,81.0,100.0,181.0,466.0,1202.0,65.91,55.0,572.0,902.0,3147.0,312.0,277.0,21.0,2304.0,367.0,119.0
354190,AJG,False,train,Dec 2016,4078.0,351.0,443.0,794.0,1603.0,2145.0,9264.0,397.0,916.0,5681.0,11490.0,4416.0,4612.0,371.0,7834.0,1127.0,2159.0
354190,AJG,False,train,Dec 2017,4519.0,386.0,484.0,870.0,1726.0,2692.0,11454.0,481.0,1222.0,6246.0,14910.0,7269.0,6730.0,371.0,10610.0,1215.0,4484.0
354190,AJG,False,train,Dec 2018,4984.0,419.0,618.0,1037.0,1940.0,3091.0,13561.0,634.0,1559.0,6924.0,16334.0,8119.0,7694.0,371.0,11764.0,1323.0,5366.0
354190,AJG,False,train,Dec 2019,4831.0,474.0,806.0,1280.0,2289.0,3816.0,17913.0,669.0,1901.0,7120.0,19635.0,9118.0,8921.0,371.0,14419.0,1543.0,5892.0
354190,AJG,False,train,Dec 2020,4500.0,562.0,1067.0,1630.0,2509.0,4266.0,23963.0,819.0,2372.0,7009.0,22331.0,11124.0,10135.0,371.0,16099.0,1469.0,6893.0
1135017,KMR,False,train,Dec 2009,4833.0,146.0,627.0,774.0,1319.0,1580.0,6147.0,74.0,-849.0,6151.0,2684.0,11.0,10.0,965.0,212.0,714.0,10.0
1135017,KMR,False,train,Dec 2010,4833.0,146.0,627.0,774.0,1319.0,1580.0,6147.0,74.0,-849.0,6151.0,2684.0,11.0,10.0,965.0,212.0,714.0,10.0
1135017,KMR,False,train,Dec 2011,4833.0,146.0,627.0,774.0,1319.0,1580.0,7622.0,13.0,-1256.0,6151.0,2732.0,10.0,10.0,965.0,228.0,714.0,10.0
1135017,KMR,False,train,Dec 2012,4833.0,146.0,627.0,774.0,1319.0,1580.0,8687.0,-20.0,-1755.0,6151.0,3476.0,12.0,12.0,965.0,12.0,714.0,12.0
1135017,KMR,False,train,Dec 2013,4833.0,146.0,627.0,774.0,1319.0,1580.0,9482.0,258.0,-2108.0,6151.0,4092.0,11.0,11.0,965.0,84.0,714.0,10.0
1357326,RVBD,False,val,Dec 2010,174.0,24.0,92.0,117.0,552.0,567.0,3700.0,64.0,83.0,726.0,1031.0,612.0,261.0,11.0,320.0,461.0,78.0
1357326,RVBD,False,val,Dec 2011,174.0,24.0,92.0,117.0,552.0,567.0,3700.0,64.0,83.0,726.0,1031.0,612.0,261.0,11.0,320.0,461.0,78.0
1357326,RVBD,False,val,Dec 2012,205.0,40.0,95.0,135.0,632.0,567.0,3221.0,55.0,138.0,837.0,2024.0,650.0,340.0,24.0,1130.0,536.0,113.0
1357326,RVBD,False,val,Dec 2013,282.0,126.0,9.0,135.0,759.0,510.0,2890.0,-12.0,125.0,1041.0,1898.0,634.0,366.0,25.0,1069.0,751.0,94.0
1357326,RVBD,False,val,Dec 2014,282.0,114.0,48.0,162.0,807.0,495.0,3218.0,71.0,197.0,1089.0,1926.0,745.0,402.0,15.0,1086.0,759.0,104.0
1115055,PNFP,False,test,Dec 2016,114.9,0.0,-19.2,3.5,160.3,145.8,3213.0,127.0,381.0,393.0,11195.0,253.6,45.9,23.5,9698.0,186.5,28.0
1115055,PNFP,False,test,Dec 2017,114.9,-24.0,-19.2,3.5,160.3,145.8,5154.0,174.0,519.0,622.0,22206.0,253.6,45.9,23.5,18498.0,186.5,57.0
1115055,PNFP,False,test,Dec 2018,114.9,-24.0,-19.2,3.5,160.3,145.8,3573.0,359.0,833.0,842.0,25031.0,253.6,45.9,23.5,21065.0,186.5,80.0
1115055,PNFP,False,test,Dec 2019,114.9,8.0,-19.2,3.5,160.3,145.8,4896.0,401.0,1184.0,896.0,27805.0,253.6,45.9,23.5,23450.0,186.5,84.0
1115055,PNFP,False,test,Dec 2020,114.9,45.0,-19.2,3.5,160.3,145.8,4888.0,312.0,1408.0,1001.0,34933.0,253.6,45.9,23.5,30028.0,186.5,104.0
1105018,NMX,False,train,Dec 2003,14935.0,23.0,55.0,79.0,234.0,86.0,59822.0,27.0,33.0,234.0,455.0,233.0,98.0,1648.0,328.0,234.0,17.0
1105018,NMX,False,train,Dec 2004,14935.0,23.0,55.0,79.0,234.0,86.0,59822.0,27.0,33.0,234.0,455.0,233.0,98.0,1648.0,328.0,234.0,17.0
1105018,NMX,False,train,Dec 2005,14935.0,16.0,138.0,155.0,340.0,83.0,59822.0,71.0,39.0,340.0,2809.0,2589.0,2476.0,1648.0,2699.0,340.0,24.0
1105018,NMX,False,train,Dec 2006,14935.0,17.0,416.0,433.0,503.0,80.0,59822.0,155.0,-22.0,503.0,3624.0,3119.0,2633.0,1648.0,2849.0,503.0,33.0
1105018,NMX,False,train,Dec 2007,14935.0,16.0,525.0,541.0,659.0,77.0,59822.0,224.0,74.0,659.0,2227.0,1558.0,1084.0,1648.0,1302.0,659.0,38.0
1749723,NFE,False,train,Dec 2016,28.0,2.0,-28.0,-26.0,-7.0,75.0,370.0,-33.0,-49.0,21.0,389.0,212.0,24.0,8.0,100.0,21.0,17.0
1749723,NFE,False,train,Dec 2017,86.0,3.0,-25.0,-22.0,11.0,69.0,370.0,-32.0,-80.0,97.0,381.0,155.0,32.0,11.0,102.0,36.0,21.0
1749723,NFE,False,train,Dec 2018,105.0,4.0,-71.0,-67.0,7.0,619.0,370.0,-78.0,-158.0,112.0,699.0,154.0,405.0,16.0,417.0,65.0,30.0
1749723,NFE,False,train,Dec 2019,210.0,9.0,-197.0,-188.0,-21.0,619.0,370.0,-34.0,-46.0,189.0,1124.0,211.0,102.0,63.0,736.0,166.0,51.0
1749723,NFE,False,train,Dec 2020,326.0,33.0,-209.0,-176.0,125.0,1240.0,9357.0,-182.0,-230.0,452.0,1908.0,762.0,191.0,23.0,1533.0,277.0,86.0
1426332,NGM,False,train,Dec 2016,1430.0,3.53,-8.36,-4.83,85.59,204.0,1238.1,-6.92,-132.54,85.59,276.99,234.68,37.69,74.0,392.06,93.95,2.77
1426332,NGM,False,train,Dec 2017,1430.0,6.44,-17.43,-10.98,77.14,204.0,1238.1,-14.16,-146.7,77.14,248.94,175.53,36.89,74.0,369.92,94.57,3.67
1426332,NGM,False,train,Dec 2018,1430.0,7.22,-4.31,2.91,108.67,204.0,1238.1,-0.49,-147.19,108.67,246.09,214.56,41.49,74.0,354.28,112.98,3.67
1426332,NGM,False,train,Dec 2019,1430.0,7.61,-49.34,-41.73,103.54,204.0,1238.1,-42.8,-196.14,103.54,380.4,355.25,39.72,74.0,49.68,152.88,5.21
1426332,NGM,False,train,Dec 2020,1430.0,6.55,-103.83,-97.28,87.37,204.0,2138.38,-102.49,-298.63,87.37,329.04,308.43,42.58,74.0,49.0,191.2,6.43
1580608,SC,False,train,Dec 2016,617.0,1095.0,114.0,115.0,222.0,400.0,4845.0,766.0,3549.0,5522.0,38539.0,784.0,27.0,718.0,33300.0,110.0,699.0
1580608,SC,False,train,Dec 2017,617.0,1404.0,114.0,115.0,222.0,400.0,6713.0,1173.0,4736.0,5532.0,39403.0,784.0,27.0,718.0,32937.0,110.0,609.0
1580608,SC,False,train,Dec 2018,617.0,1668.0,114.0,115.0,222.0,400.0,6197.0,916.0,5466.0,5796.0,43960.0,784.0,27.0,718.0,36941.0,110.0,561.0
1580608,SC,False,train,Dec 2019,617.0,1989.0,114.0,115.0,222.0,400.0,7927.0,994.0,6169.0,6311.0,48934.0,784.0,27.0,718.0,41615.0,110.0,470.0
1580608,SC,False,train,Dec 2020,617.0,2209.0,114.0,115.0,222.0,400.0,6740.0,911.0,5276.0,6744.0,48887.0,784.0,27.0,718.0,43266.0,110.0,608.0
1530249,FSBW,False,train,Dec 2016,3655.0,5.2,389.0,712.0,1571.0,7149.0,110.0,10.5,55.6,55.1,827.9,2616.0,704.0,574.0,746.9,1028.0,2.5
1530249,FSBW,False,train,Dec 2017,3655.0,3.9,389.0,712.0,1571.0,7149.0,200.8,14.1,68.4,61.6,981.8,2616.0,704.0,574.0,859.8,1028.0,3.6
1530249,FSBW,False,train,Dec 2018,3655.0,5.3,389.0,712.0,1571.0,7149.0,192.6,24.3,90.9,68.8,1621.6,2616.0,704.0,574.0,1441.6,1028.0,5.8
1530249,FSBW,False,train,Dec 2019,3655.0,12.0,389.0,712.0,1571.0,7149.0,284.4,22.7,110.7,90.3,1713.1,2616.0,704.0,574.0,1512.8,1028.0,5.9
1530249,FSBW,False,train,Dec 2020,3655.0,13.6,389.0,712.0,1571.0,7149.0,232.2,39.3,146.4,127.4,2113.2,2616.0,704.0,574.0,1883.2,1028.0,7.0
1370755,TCPC,False,test,Dec 2016,155.0,4.0,-7.0,-3.0,33.0,5.0,896.41,95.37,12.53,108.31,1387.6,65.0,30.0,81.0,596.66,40.0,13.69
1370755,TCPC,False,test,Dec 2017,155.0,4.0,-7.0,-3.0,33.0,5.0,899.19,90.61,-168.19,103.75,1629.42,65.0,30.0,81.0,758.69,40.0,19.8
1370755,TCPC,False,test,Dec 2018,155.0,4.0,-7.0,-3.0,33.0,5.0,766.42,45.48,-169.66,59.45,1659.54,65.0,30.0,81.0,829.06,40.0,21.7
1370755,TCPC,False,test,Dec 2019,155.0,4.0,-7.0,-3.0,33.0,5.0,825.67,30.58,-221.12,44.06,1722.07,65.0,30.0,81.0,945.75,40.0,19.23
1370755,TCPC,False,test,Dec 2020,155.0,4.0,-7.0,-3.0,33.0,5.0,649.3,71.37,-215.04,87.08,1671.99,65.0,30.0,81.0,907.0,40.0,15.85
18937,CRDN,False,train,Dec 2007,415.0,37.0,166.0,202.0,265.0,121.0,542.0,107.0,468.0,680.0,855.0,446.0,45.0,101.0,227.0,100.0,70.0
18937,CRDN,False,train,Dec 2008,415.0,37.0,166.0,202.0,265.0,121.0,542.0,107.0,468.0,680.0,855.0,446.0,45.0,101.0,227.0,100.0,70.0
18937,CRDN,False,train,Dec 2009,299.0,35.0,8.0,43.0,102.0,82.0,496.0,9.0,470.0,401.0,850.0,454.0,48.0,101.0,200.0,94.0,65.0
18937,CRDN,False,train,Dec 2010,295.0,36.0,29.0,65.0,108.0,86.0,800.0,29.0,500.0,403.0,865.0,467.0,52.0,104.0,213.0,79.0,71.0
18937,CRDN,False,train,Dec 2011,365.0,39.0,128.0,167.0,207.0,3085.0,664.0,84.0,583.0,572.0,948.0,533.0,154.0,117.0,239.0,78.0,80.0
1611547,UE,False,train,Dec 2016,96.7,57.2,146.5,203.7,229.3,1197.5,2744.3,90.8,-29.1,326.0,1904.1,252.5,48.8,3.3,1408.0,96.2,97.0
1611547,UE,False,train,Dec 2017,114.1,82.5,126.0,208.5,293.0,1564.5,2901.5,67.1,-57.6,407.0,2820.8,621.5,32.7,3.3,1830.3,123.8,105.9
1611547,UE,False,train,Dec 2018,142.0,102.9,182.5,285.4,272.1,1550.2,1900.4,105.2,-52.9,414.2,2799.0,581.3,44.5,6.6,1793.0,145.9,113.5
1611547,UE,False,train,Dec 2019,124.2,96.6,181.3,277.9,263.4,1546.2,2327.9,109.5,-52.5,387.6,2846.4,606.8,49.7,6.6,1831.6,146.8,95.4
1611547,UE,False,train,Dec 2020,116.2,97.8,126.9,224.7,213.9,1587.5,1514.2,93.6,-39.5,330.1,2939.6,515.6,107.2,7.1,1943.7,158.4,77.8
944745,CIVB,False,train,Dec 2016,49.0,2.0,8.0,12.0,46.0,34.0,162.1,17.2,19.3,65.8,1377.3,46.0,13.0,28.0,1239.6,39.0,3.9
944745,CIVB,False,train,Dec 2017,49.0,1.8,8.0,12.0,46.0,34.0,224.4,15.9,31.7,70.0,1525.9,46.0,13.0,28.0,1341.4,39.0,4.5
944745,CIVB,False,train,Dec 2018,49.0,1.9,8.0,12.0,46.0,34.0,271.8,14.1,41.3,83.2,2139.0,46.0,13.0,28.0,1840.1,39.0,6.7
944745,CIVB,False,train,Dec 2019,49.0,3.2,8.0,12.0,46.0,34.0,400.5,33.9,68.0,105.7,2309.6,46.0,13.0,28.0,1979.4,39.0,7.1
944745,CIVB,False,train,Dec 2020,49.0,3.2,8.0,12.0,46.0,34.0,278.7,32.2,93.0,116.0,2768.9,46.0,13.0,28.0,2418.8,39.0,9.4
929454,GLB,False,train,Dec 2001,1777.0,53.0,69.0,123.0,187.0,739.0,3014.0,22.0,-150.0,187.0,1434.0,5.0,14.0,6.0,720.0,118.0,17.0
929454,GLB,False,train,Dec 2002,1777.0,53.0,69.0,123.0,187.0,739.0,3014.0,22.0,-150.0,187.0,1434.0,5.0,14.0,6.0,720.0,118.0,17.0
929454,GLB,False,train,Dec 2003,1777.0,60.0,50.0,110.0,186.0,739.0,3014.0,30.0,-185.0,186.0,1405.0,19.0,14.0,6.0,739.0,135.0,17.0
929454,GLB,False,train,Dec 2004,1777.0,64.0,45.0,109.0,183.0,676.0,3014.0,28.0,-223.0,183.0,1433.0,6.0,14.0,6.0,712.0,138.0,17.0
929454,GLB,False,train,Dec 2005,1777.0,59.0,35.0,94.0,163.0,812.0,3014.0,1.0,-304.0,163.0,1346.0,21.0,14.0,6.0,836.0,128.0,17.0
1372041,PAET,False,train,Dec 2006,492.0,77.0,87.0,164.0,549.0,791.0,992.2,11.0,-57.0,1041.0,1166.0,282.0,203.0,81.0,1013.0,453.0,147.0
1372041,PAET,False,train,Dec 2007,492.0,77.0,87.0,164.0,549.0,791.0,992.2,11.0,-57.0,1041.0,1166.0,282.0,203.0,81.0,1013.0,453.0,147.0
1372041,PAET,False,train,Dec 2008,781.0,177.0,-324.0,-147.0,789.0,917.0,992.2,-488.0,-545.0,1570.0,1497.0,381.0,305.0,81.0,1298.0,1114.0,203.0
1372041,PAET,False,train,Dec 2009,782.0,185.0,44.0,229.0,798.0,40.0,992.2,-29.0,-574.0,1580.0,1458.0,385.0,277.0,81.0,1259.0,737.0,201.0
1372041,PAET,False,train,Dec 2010,809.0,197.0,38.0,234.0,815.0,40.0,992.2,-58.0,-632.0,1624.0,2008.0,387.0,355.0,81.0,1871.0,770.0,253.0
8947,AZZ,False,train,Feb 2017,658.0,50.0,100.0,150.0,205.0,255.0,1523.0,61.0,499.0,864.0,978.0,297.0,137.0,94.0,445.0,106.0,189.0
8947,AZZ,False,train,Feb 2018,650.0,51.0,45.0,95.0,160.0,287.0,1060.0,45.0,526.0,810.0,1028.0,329.0,132.0,111.0,463.0,112.0,193.0
8947,AZZ,False,train,Feb 2019,728.0,50.0,78.0,189.0,199.0,241.0,1202.0,51.0,548.0,927.0,1089.0,379.0,165.0,125.0,485.0,122.0,220.0
8947,AZZ,False,train,Feb 2020,825.0,50.0,78.0,129.0,237.0,78.0,965.0,48.0,572.0,1062.0,1074.0,355.0,281.0,100.0,439.0,139.0,209.0
8947,AZZ,False,train,Feb 2021,358.0,32.0,48.0,80.0,123.0,178.0,1283.0,40.0,547.0,481.0,999.0,305.0,117.0,94.0,376.0,59.0,190.0
921112,LPT,False,train,Dec 2014,239.9,236.1,320.1,556.1,552.7,3149.9,5590.2,218.2,-654.9,792.6,6612.0,318.0,148.8,6.9,3525.6,295.3,123.4
921112,LPT,False,train,Dec 2015,226.2,229.8,368.4,598.2,547.7,3147.0,4582.3,239.5,-674.7,774.0,6557.6,281.5,149.3,6.9,3527.4,286.1,133.1
921112,LPT,False,train,Dec 2016,193.8,207.7,424.1,631.8,481.5,2556.9,5806.2,356.8,-596.6,675.3,5992.8,485.7,166.4,6.9,2929.9,259.5,116.2
921112,LPT,False,train,Dec 2017,226.6,183.9,317.9,501.8,438.8,2909.5,6341.9,282.3,-550.0,665.4,6439.8,1054.6,172.8,6.9,3291.4,225.1,116.6
921112,LPT,False,train,Dec 2018,288.8,175.8,241.7,417.5,416.1,3092.7,6194.0,479.6,-306.8,704.9,6934.4,708.7,151.6,6.9,3537.6,235.6,139.5
924646,MPS,False,train,Dec 2004,1242.0,15.0,87.0,102.0,442.0,3.0,87.0,60.0,258.0,1685.0,1028.0,416.0,137.0,64.0,152.0,355.0,245.0
924646,MPS,False,train,Dec 2005,1242.0,15.0,87.0,102.0,442.0,3.0,87.0,60.0,258.0,1685.0,1028.0,416.0,137.0,64.0,152.0,355.0,245.0
924646,MPS,False,train,Dec 2006,1360.0,16.0,115.0,130.0,517.0,3.0,87.0,75.0,333.0,1877.0,1142.0,480.0,161.0,64.0,179.0,402.0,278.0
924646,MPS,False,train,Dec 2007,1550.0,20.0,134.0,154.0,622.0,3.0,87.0,87.0,421.0,2172.0,1210.0,464.0,199.0,64.0,233.0,489.0,324.0
924646,MPS,False,train,Dec 2008,1585.0,22.0,-264.0,-242.0,637.0,3.0,87.0,-236.0,185.0,2222.0,796.0,397.0,173.0,64.0,204.0,901.0,282.0
1000736,CMX,False,train,Dec 2002,8299.0,45.0,527.0,572.0,768.0,693.0,1492.0,291.0,-981.0,9067.0,2474.0,1947.0,1064.0,205.0,1833.0,241.0,670.0
1000736,CMX,False,train,Dec 2003,8299.0,45.0,527.0,572.0,768.0,693.0,1492.0,291.0,-981.0,9067.0,2474.0,1947.0,1064.0,205.0,1833.0,241.0,670.0
1000736,CMX,False,train,Dec 2004,24192.0,124.0,1029.0,1153.0,1609.0,450.0,1492.0,600.0,-381.0,25801.0,12310.0,4220.0,3764.0,437.0,4770.0,580.0,2042.0
1000736,CMX,False,train,Dec 2005,30889.0,147.0,1491.0,1639.0,2102.0,387.0,1492.0,932.0,551.0,32991.0,12851.0,4645.0,3712.0,449.0,4670.0,611.0,2075.0
1000736,CMX,False,train,Dec 2006,34344.0,146.0,1714.0,1860.0,2406.0,104.0,1492.0,1074.0,1499.0,36750.0,12231.0,4122.0,3993.0,541.0,4551.0,692.0,2232.0
893538,SM,False,test,Dec 2016,1388.0,791.0,-1043.0,-252.0,-208.0,2898.0,3836.0,-758.0,794.0,1180.0,6394.0,225.0,415.0,20.0,3896.0,201.0,145.0
893538,SM,False,test,Dec 2017,1065.0,557.0,-165.0,392.0,195.0,2909.0,2466.0,-161.0,666.0,1260.0,6177.0,549.0,559.0,20.0,3782.0,186.0,160.0
893538,SM,False,test,Dec 2018,1153.0,665.0,813.0,1478.0,487.0,2596.0,1738.0,508.0,1166.0,1640.0,6353.0,429.0,466.0,20.0,3433.0,190.0,158.0
893538,SM,False,test,Dec 2019,1325.0,824.0,-72.0,752.0,261.0,2733.0,1270.0,-187.0,968.0,1586.0,6292.0,253.0,472.0,20.0,3543.0,200.0,178.0
893538,SM,False,test,Dec 2020,1176.0,785.0,-793.0,-8.0,-50.0,2214.0,702.0,-765.0,201.0,1126.0,4976.0,204.0,584.0,20.0,2960.0,164.0,146.0
1054905,IOSP,False,train,Dec 2016,551.0,38.0,106.0,144.0,332.0,259.0,1649.0,81.0,562.0,883.0,1181.0,441.0,183.0,174.0,528.0,242.0,154.0
1054905,IOSP,False,train,Dec 2017,904.0,50.0,136.0,187.0,403.0,203.0,1719.0,62.0,605.0,1307.0,1410.0,562.0,262.0,210.0,616.0,276.0,245.0
1054905,IOSP,False,train,Dec 2018,1042.0,50.0,139.0,188.0,435.0,186.0,1509.0,85.0,668.0,1477.0,1473.0,664.0,297.0,248.0,648.0,294.0,280.0
1054905,IOSP,False,train,Dec 2019,1047.0,48.0,155.0,203.0,466.0,59.0,2535.0,112.0,756.0,1513.0,1469.0,630.0,304.0,245.0,550.0,316.0,292.0
1054905,IOSP,False,train,Dec 2020,850.0,46.0,42.0,88.0,343.0,5.0,2232.0,29.0,759.0,1193.0,1397.0,566.0,252.0,220.0,453.0,268.0,221.0
1047884,ANHpC.PFD,False,train,Dec 2016,12735.0,0.0,1473.0,1632.0,2672.0,8197.0,31850.0,22.0,-403.0,38.0,5396.0,3371.0,5147.0,355.0,4741.0,862.0,16.0
1047884,ANHpC.PFD,False,train,Dec 2017,12735.0,0.0,1473.0,1632.0,2672.0,8197.0,31850.0,54.0,-415.0,70.0,5766.0,3371.0,5147.0,355.0,5068.0,862.0,18.0
1047884,ANHpC.PFD,False,train,Dec 2018,12735.0,0.0,1473.0,1632.0,2672.0,8197.0,31850.0,-6.0,-486.0,7.0,5040.0,3371.0,5147.0,355.0,4459.0,862.0,17.0
1047884,ANHpC.PFD,False,train,Dec 2019,12735.0,0.0,1473.0,1632.0,2672.0,8197.0,31850.0,-55.0,-593.0,-42.0,4939.0,3371.0,5147.0,355.0,4367.0,862.0,16.0
1047884,ANHpC.PFD,False,train,Dec 2020,12735.0,0.0,1473.0,1632.0,2672.0,8197.0,31850.0,-104.0,-726.0,-90.0,2384.0,3371.0,5147.0,355.0,1956.0,862.0,7.0
19617,JPM,False,train,Dec 2016,857.0,5478.0,46.0,107.0,175.0,365.0,307295.0,24733.0,162440.0,96569.0,1555.0,337.0,317.0,114.0,843.0,119.0,52330.0
19617,JPM,False,train,Dec 2017,857.0,6179.0,46.0,107.0,175.0,365.0,366301.0,24441.0,177676.0,100705.0,1555.0,337.0,317.0,114.0,843.0,119.0,67729.0
19617,JPM,False,train,Dec 2018,857.0,7791.0,46.0,107.0,175.0,365.0,319780.0,32474.0,199202.0,108783.0,1555.0,337.0,317.0,114.0,843.0,119.0,73200.0
19617,JPM,False,train,Dec 2019,857.0,8368.0,46.0,107.0,175.0,365.0,429913.0,36431.0,223211.0,115720.0,1555.0,337.0,317.0,114.0,843.0,119.0,72861.0
19617,JPM,False,train,Dec 2020,857.0,8614.0,46.0,107.0,175.0,365.0,387492.0,29131.0,236990.0,119883.0,1555.0,337.0,317.0,114.0,843.0,119.0,90503.0
1063939,SERC,False,train,Jun 2004,5478.0,1.0,34.0,48.0,2418.0,6556.0,1559.0,2.0,19.0,13.0,351.0,3006.0,1824.0,444.0,324.0,795.0,2.0
1063939,SERC,False,train,Jun 2005,5478.0,1.0,34.0,48.0,2418.0,6556.0,1559.0,2.0,19.0,13.0,351.0,3006.0,1824.0,444.0,324.0,795.0,2.0
1063939,SERC,False,train,Jun 2006,5478.0,1.0,34.0,48.0,2418.0,6556.0,1559.0,2.0,21.0,14.0,402.0,3006.0,1824.0,444.0,374.0,795.0,2.0
1063939,SERC,False,train,Jun 2007,5478.0,1.0,34.0,48.0,2418.0,6556.0,1559.0,1.0,23.0,13.0,415.0,3006.0,1824.0,444.0,386.0,795.0,2.0
1063939,SERC,False,train,Jun 2008,5478.0,0.0,34.0,48.0,2418.0,6556.0,1559.0,-3.0,20.0,13.0,415.0,3006.0,1824.0,444.0,389.0,795.0,2.0
1095565,HSTM,False,train,Dec 2016,75.0,20.4,7.2,27.5,117.2,548.0,795.3,3.8,5.3,192.1,396.0,177.4,95.0,1206.0,109.9,110.0,47.4
1095565,HSTM,False,train,Dec 2017,87.2,24.0,9.4,33.5,127.7,548.0,739.0,10.0,17.5,214.9,411.1,199.7,101.1,1206.0,110.9,118.3,38.0
1095565,HSTM,False,train,Dec 2018,96.0,24.2,15.5,39.7,135.6,548.0,780.6,32.2,32.4,231.6,441.9,241.4,106.9,1206.0,123.0,120.1,41.0
1095565,HSTM,False,train,Dec 2019,103.9,27.9,14.7,42.6,150.2,548.0,880.7,15.8,48.1,254.1,489.5,224.6,105.2,1206.0,151.4,135.5,30.4
1095565,HSTM,False,train,Dec 2020,89.3,30.2,15.8,46.0,155.5,548.0,687.8,14.1,62.3,244.8,500.3,114.7,119.4,1206.0,166.3,139.7,46.1
1120427,SBNK,False,train,Dec 2005,67.0,0.0,78.0,126.0,168.0,478.0,1831.0,4.0,9.0,15.0,278.0,40.0,81.0,3.0,251.0,90.0,2.0
1120427,SBNK,False,train,Dec 2006,67.0,0.0,78.0,126.0,168.0,478.0,1831.0,4.0,9.0,15.0,278.0,40.0,81.0,3.0,251.0,90.0,2.0
1120427,SBNK,False,train,Dec 2007,67.0,0.0,78.0,126.0,168.0,478.0,1831.0,4.0,10.0,17.0,298.0,40.0,81.0,3.0,270.0,90.0,2.0
1120427,SBNK,False,train,Dec 2008,67.0,0.0,78.0,126.0,168.0,478.0,1831.0,3.0,12.0,17.0,322.0,40.0,81.0,3.0,291.0,90.0,2.0
1120427,SBNK,False,train,Dec 2009,67.0,0.0,78.0,126.0,168.0,478.0,1831.0,-20.0,-9.0,16.0,358.0,40.0,81.0,3.0,339.0,90.0,2.0
1345840,HUGH,False,train,Dec 2006,712.0,47.0,93.0,140.0,259.0,578.0,701.8,44.0,-367.0,971.0,1130.0,471.0,278.0,66.0,857.0,175.0,210.0
1345840,HUGH,False,train,Dec 2007,712.0,47.0,93.0,140.0,259.0,578.0,701.8,44.0,-367.0,971.0,1130.0,471.0,278.0,66.0,857.0,175.0,210.0
1345840,HUGH,False,train,Dec 2008,785.0,70.0,69.0,139.0,275.0,578.0,701.8,9.0,-358.0,1060.0,1190.0,491.0,250.0,65.0,841.0,211.0,200.0
1345840,HUGH,False,train,Dec 2009,738.0,103.0,15.0,117.0,271.0,715.0,701.8,-53.0,-411.0,1010.0,1302.0,555.0,258.0,60.0,980.0,259.0,164.0
1345840,HUGH,False,train,Dec 2010,728.0,132.0,88.0,220.0,315.0,741.0,701.8,23.0,-388.0,1043.0,1363.0,453.0,255.0,58.0,1012.0,230.0,187.0
